,WeekendTapIn,YearMonth,WeekendTapOut,WeekdayTapOut,TrainStationCode,WeekdayTapIn
182,525128,2024-03,526286,981459,DT19,991619
183,336374,2024-03,371318,551630,NE7,507605
184,336374,2024-03,371318,551630,DT12,507605
185,369642,2024-03,352780,820613,NS17,877927
186,369642,2024-03,352780,820613,CC15,877927
187,533671,2024-03,554291,1198885,NS21,1148111
188,533671,2024-03,554291,1198885,DT11,1148111
189,345355,2024-03,328813,604236,NS24,642203
190,345355,2024-03,328813,604236,NE6,642203
191,345355,2024-03,328813,604236,CC1,642203
192,584555,2024-03,579173,861417,NS25,859540
193,584555,2024-03,579173,861417,EW13,859540
194,27117,2024-03,39710,124032,NS27,123396
195,27117,2024-03,39710,124032,CE2,123396
196,27117,2024-03,39710,124032,TE20,123396
197,321004,2024-03,352239,822840,NS4,751376
198,321004,2024-03,352239,822840,BP1,751376
199,509993,2024-03,568444,1294680,NS9,1085765
200,509993,2024-03,568444,1294680,TE2,1085765
201,743996,2024-03,781592,1201651,TE14,1124456
202,743996,2024-03,781592,1201651,NS22,1124456
203,20688,2024-02,24026,72720,BP10,69967
204,23597,2024-02,19046,62243,BP11,82451
205,18453,2024-02,11751,48806,BP12,71086
206,9096,2024-02,5337,18850,BP13,29171
207,20630,2024-02,17702,53319,BP2,69273
208,30981,2024-02,27179,81786,BP3,98179
209,12900,2024-02,11958,100489,BP4,99528
210,15002,2024-02,13182,40106,BP5,46095
211,4269,2024-02,7408,24646,BP7,22602
212,11063,2024-02,11062,39873,BP8,40734
213,15625,2024-02,13822,45220,BP9,46049
214,81775,2024-02,82394,400591,CC11,387175
215,41349,2024-02,39049,147186,CC12,166214
216,44108,2024-02,42785,172275,CC14,180158
217,44807,2024-02,44490,173977,CC16,182362
218,30778,2024-02,33228,121296,CC2,111152
219,36635,2024-02,37338,116906,CC20,114624
220,72691,2024-02,73125,212636,CC21,201026
221,27191,2024-02,26609,344497,CC23,349937
222,54744,2024-02,54239,495097,CC24,511202
223,39689,2024-02,36305,130599,CC25,139143
224,21073,2024-02,21298,106553,CC26,108172
225,13907,2024-02,15810,155382,CC27,148268
226,21222,2024-02,22626,63966,CC28,54698
227,70233,2024-02,66055,138044,CC3,148162
228,35421,2024-02,33355,92353,CC5,92931
229,85720,2024-02,82670,187757,CC6,174952
230,47051,2024-02,51636,158041,CC7,152867
231,64191,2024-02,61484,187268,CC8,206044
232,219227,2024-02,207464,389922,CG2,410917
233,87748,2024-02,92022,220747,DT13,213758
234,45422,2024-02,42062,465206,DT17,445903
235,41163,2024-02,45606,362475,DT18,341472
236,14294,2024-02,11617,58075,DT2,68841
237,40902,2024-02,46052,133324,DT20,122150
238,53914,2024-02,55298,160327,DT21,159750
239,100292,2024-02,102824,190409,DT22,178799
240,22565,2024-02,23781,102524,DT23,99067
241,33128,2024-02,32878,111038,DT24,116098
242,28174,2024-02,28041,100932,DT25,97409
243,55151,2024-02,54945,193218,DT27,195640
244,74444,2024-02,72507,228828,DT28,239512
245,48861,2024-02,45257,149471,DT29,163727
246,56571,2024-02,50144,150053,DT3,165025
247,54116,2024-02,52033,169008,DT30,177059
248,52898,2024-02,55469,188695,DT31,179009
249,109876,2024-02,102070,364297,DT33,397282
250,31472,2024-02,31050,110096,DT34,120306
251,107763,2024-02,104809,279248,DT5,278295
252,42876,2024-02,40470,151626,DT6,173291
253,23930,2024-02,27252,103368,DT7,84913
254,22806,2024-02,23676,115010,DT8,123377
255,199456,2024-02,195753,579717,EW1,606088
256,108893,2024-02,112697,237873,EW10,233734
257,135607,2024-02,141233,371999,EW11,355490
258,123902,2024-02,131601,838623,EW15,804212
259,168864,2024-02,179827,536317,EW17,510023
260,112587,2024-02,116084,393971,EW18,381685
261,109257,2024-02,106482,329505,EW19,354864
262,81822,2024-02,81875,275864,EW20,276778
263,35343,2024-02,39848,255189,EW22,249092
264,316771,2024-02,324380,1004677,EW23,957472
265,77316,2024-02,79760,201043,EW25,219295
266,233287,2024-02,211748,634364,EW26,712418
267,327064,2024-02,370739,1076591,EW27,920156
268,199022,2024-02,168403,496374,EW28,643300
269,86386,2024-02,97671,330028,EW29,317997
270,117678,2024-02,122393,370263,EW3,357562
271,22156,2024-02,19834,75989,EW30,85739
272,29571,2024-02,23020,87117,EW31,97906
273,41280,2024-02,41998,98570,EW32,100316
274,39034,2024-02,31763,85106,EW33,91962
275,117015,2024-02,109268,320522,EW4,349472
276,240986,2024-02,249508,672076,EW5,661262
277,79671,2024-02,86929,258089,EW6,222623
278,111574,2024-02,124372,346691,EW7,305279
279,188711,2024-02,190950,437316,EW9,438124
280,104996,2024-02,101865,337873,NE10,340085
281,91240,2024-02,92524,282518,NE11,276708
282,162569,2024-02,161239,455301,NE13,448516
283,214158,2024-02,205921,635663,NE14,655704
284,141547,2024-02,142226,422975,NE15,426445
285,90095,2024-02,97796,298561,NE5,283569
286,313867,2024-02,327552,578240,NE8,529833
287,157252,2024-02,138800,438695,NE9,486866
288,269688,2024-02,247406,779958,NS10,875009
289,288184,2024-02,287620,823308,NS11,820618
290,115150,2024-02,109025,311720,NS12,339835
291,368049,2024-02,383946,1151103,NS13,1082013
292,235815,2024-02,214264,640619,NS14,718356
293,93748,2024-02,85552,433216,NS15,467417
294,301091,2024-02,326205,976303,NS16,890849
295,98708,2024-02,92277,280889,NS18,310960
296,247485,2024-02,255613,760180,NS19,726882
297,181584,2024-02,192564,588455,NS2,559317
298,202845,2024-02,199750,779181,NS20,788507
299,247127,2024-02,253060,636037,NS23,601238
300,37666,2024-02,37151,39282,NS28,39768
301,137097,2024-02,134979,395916,NS3,416172
302,194879,2024-02,194311,595926,NS5,628221
303,240606,2024-02,193774,473168,NS7,497628
304,140637,2024-02,114790,357717,NS8,447400
305,25065,2024-02,24702,74224,PE1,75046
306,36707,2024-02,36063,111167,PE2,116861
307,41398,2024-02,42676,132451,PE3,124653
308,13640,2024-02,13661,33427,PE4,36098
309,37047,2024-02,34797,113391,PE5,124768
310,46877,2024-02,44289,137794,PE6,142113
311,34193,2024-02,32735,96469,PE7,98027
312,11900,2024-02,15177,30039,PW1,23142
313,12886,2024-02,12452,32138,PW3,36224
314,42310,2024-02,40114,96393,PW4,100502
315,33134,2024-02,33671,67004,PW5,62824
316,10607,2024-02,9175,29361,PW6,34945
317,19864,2024-02,21517,64847,PW7,58121
318,28919,2024-02,28975,92727,SE1,92138
319,39679,2024-02,37991,109254,SE2,115612
320,22019,2024-02,21937,64804,SE3,67615
321,25212,2024-02,24999,72198,SE4,73487
322,18618,2024-02,18219,61099,SE5,61369
323,14997,2024-02,14825,59903,SW1,58446
324,34191,2024-02,31129,78521,SW2,84573
325,15504,2024-02,14978,49248,SW3,53121
326,17498,2024-02,17522,51784,SW4,52226
327,56352,2024-02,54164,155282,SW5,165213
328,24134,2024-02,22417,79371,SW6,84446
329,18049,2024-02,16666,50933,SW7,55402
330,13924,2024-02,13448,44578,SW8,45120
331,30447,2024-02,27185,117216,TE1,148350
332,26026,2024-02,22933,89570,TE12,88458
333,27716,2024-02,24935,74587,TE13,69608
334,51680,2024-02,61356,152092,TE15,141397
335,50794,2024-02,48806,125593,TE16,131507
336,71189,2024-02,62986,160234,TE18,169732
337,20303,2024-02,17850,179879,TE19,178112
338,44750,2024-02,71834,72441,TE22,43699
339,53108,2024-02,48412,190820,TE3,209518
340,36577,2024-02,32134,91734,TE4,95154
341,29763,2024-02,29738,90510,TE5,88820
342,67119,2024-02,66150,198252,TE6,212646
343,38239,2024-02,37762,127544,TE7,127878
344,68780,2024-02,63430,170736,TE8,174425
345,284883,2024-02,298121,892028,BP6,844555
346,284883,2024-02,298121,892028,DT1,844555
347,109793,2024-02,103227,323067,CC10,345057
348,109793,2024-02,103227,323067,DT26,345057
349,35586,2024-02,35622,152426,CC17,166286
350,35586,2024-02,35622,152426,TE9,166286
351,62871,2024-02,69026,145571,CC19,138041
352,62871,2024-02,69026,145571,DT9,138041
353,136494,2024-02,143485,427540,CC4,411297
354,136494,2024-02,143485,427540,DT15,411297
355,504401,2024-02,482425,646609,CE1,680792
356,504401,2024-02,482425,646609,DT16,680792
357,108566,2024-02,107378,313661,CG1,314981
358,108566,2024-02,107378,313661,DT35,314981
359,50579,2024-02,45110,156510,DT10,182842
360,50579,2024-02,45110,156510,TE11,182842
361,488102,2024-02,499445,1109687,EW12,1078098
362,488102,2024-02,499445,1109687,DT14,1078098
363,172832,2024-02,172793,1217834,EW14,1224991
364,172832,2024-02,172793,1217834,NS26,1224991
365,155894,2024-02,149841,671467,EW16,703317
366,155894,2024-02,149841,671467,NE3,703317
367,155894,2024-02,149841,671467,TE17,703317
368,372580,2024-02,371885,1099966,EW2,1067758
369,372580,2024-02,371885,1099966,DT32,1067758
370,133575,2024-02,124031,538492,EW21,582366
371,133575,2024-02,124031,538492,CC22,582366
372,508184,2024-02,494565,1367481,EW24,1359270
373,508184,2024-02,494565,1367481,NS1,1359270
374,409202,2024-02,414506,913872,EW8,890531
375,409202,2024-02,414506,913872,CC9,890531
376,449302,2024-02,442179,934316,NE1,937823
377,449302,2024-02,442179,934316,CC29,937823
378,417516,2024-02,427090,1199716,NE12,1162807
379,417516,2024-02,427090,1199716,CC13,1162807
380,298851,2024-02,304434,912587,NE16,887397
381,298851,2024-02,304434,912587,STC,887397
382,319966,2024-02,312091,850152,NE17,869729
383,319966,2024-02,312091,850152,PTC,869729
384,457164,2024-02,459373,1051171,NE4,1058432
385,457164,2024-02,459373,1051171,DT19,1058432
386,301707,2024-02,335045,560772,NE7,515632
387,301707,2024-02,335045,560772,DT12,515632
388,278390,2024-02,266623,822705,NS17,880597
389,278390,2024-02,266623,822705,CC15,880597
390,422866,2024-02,437563,1193889,NS21,1147056
391,422866,2024-02,437563,1193889,DT11,1147056
392,255999,2024-02,243126,589319,NS24,627381
393,255999,2024-02,243126,589319,NE6,627381
394,255999,2024-02,243126,589319,CC1,627381
395,447544,2024-02,438093,863286,NS25,860482
396,447544,2024-02,438093,863286,EW13,860482
397,33378,2024-02,49763,122486,NS27,122251
398,33378,2024-02,49763,122486,CE2,122251
399,33378,2024-02,49763,122486,TE20,122251
400,254044,2024-02,274430,824039,NS4,752154
401,254044,2024-02,274430,824039,BP1,752154
402,387777,2024-02,427664,1292792,NS9,1076387
403,387777,2024-02,427664,1292792,TE2,1076387
404,560226,2024-02,583126,1206563,TE14,1131642
405,560226,2024-02,583126,1206563,NS22,1131642
406,21689,2024-01,25297,81799,BP10,78543
407,24823,2024-01,20054,71230,BP11,92853
408,18674,2024-01,11704,55717,BP12,80048
409,9572,2024-01,5385,21623,BP13,33146
410,21439,2024-01,17910,60416,BP2,77838
411,32060,2024-01,27651,92266,BP3,109357
412,13057,2024-01,12412,102511,BP4,100301
413,15667,2024-01,13955,44158,BP5,51500
414,4036,2024-01,7086,28602,BP7,25993
415,10972,2024-01,11109,45069,BP8,46047
416,17939,2024-01,14829,50341,BP9,51945
417,92434,2024-01,93659,471648,CC11,459367
418,43495,2024-01,40943,167980,CC12,192870
419,45352,2024-01,43720,174586,CC14,181589
420,45422,2024-01,44777,188363,CC16,194843
421,33612,2024-01,35397,144599,CC2,134689
422,36892,2024-01,37746,129598,CC20,127588
423,74983,2024-01,76509,227351,CC21,214224
424,29339,2024-01,28713,404692,CC23,410274
425,59020,2024-01,56803,545788,CC24,561173
426,44624,2024-01,40719,161056,CC25,171353
427,23325,2024-01,24377,132429,CC26,131915
428,15712,2024-01,16982,186163,CC27,181102
429,27844,2024-01,28619,91658,CC28,82508
430,78618,2024-01,71167,155270,CC3,169137
431,38751,2024-01,36107,106789,CC5,110207
432,168263,2024-01,184276,326418,CC6,283764
433,53668,2024-01,54579,171225,CC7,169468
434,66876,2024-01,64184,210403,CC8,233675
435,208436,2024-01,186988,385979,CG2,437644
436,91829,2024-01,96734,249549,DT13,244110
437,37189,2024-01,38855,520285,DT17,503311
438,39464,2024-01,45745,402770,DT18,380758
439,14722,2024-01,11609,66018,DT2,79336
440,40242,2024-01,45177,147335,DT20,144285
441,55528,2024-01,56426,179819,DT21,178812
442,99258,2024-01,102801,209659,DT22,196007
443,24088,2024-01,25834,119394,DT23,115588
444,34459,2024-01,34202,126596,DT24,132773
445,28299,2024-01,28672,112449,DT25,108476
446,57835,2024-01,57678,225028,DT27,226899
447,75488,2024-01,74285,267323,DT28,277673
448,49593,2024-01,46213,169963,DT29,185665
449,57247,2024-01,50689,164254,DT3,181834
450,54310,2024-01,52226,189168,DT30,198367
451,55832,2024-01,58621,215974,DT31,203145
452,111291,2024-01,102566,405727,DT33,441365
453,28662,2024-01,28249,115633,DT34,127544
454,114743,2024-01,111667,312037,DT5,314150
455,45617,2024-01,42767,182909,DT6,207822
456,24996,2024-01,28264,115223,DT7,94634
457,23382,2024-01,24481,118507,DT8,125221
458,205363,2024-01,199861,645909,EW1,672612
459,113104,2024-01,112297,273679,EW10,271879
460,141069,2024-01,146436,427327,EW11,411655
461,141573,2024-01,148820,950840,EW15,917483
462,175558,2024-01,185960,603358,EW17,575933
463,114829,2024-01,120998,447239,EW18,432661
464,113090,2024-01,110767,373310,EW19,403086
465,84616,2024-01,84937,313922,EW20,313871
466,43806,2024-01,48220,359080,EW22,352506
467,332628,2024-01,345051,1159566,EW23,1088813
468,78486,2024-01,79615,226086,EW25,245909
469,241698,2024-01,219528,727442,EW26,814653
470,343309,2024-01,391863,1221103,EW27,1031506
471,205182,2024-01,172494,562028,EW28,722125
472,91164,2024-01,102150,390212,EW29,373831
473,123089,2024-01,126878,411468,EW3,399654
474,23350,2024-01,20580,91700,EW30,104819
475,30958,2024-01,24736,103162,EW31,115091
476,37074,2024-01,40896,116239,EW32,117395
477,38443,2024-01,32120,95557,EW33,105070
478,116713,2024-01,109989,358669,EW4,393204
479,256156,2024-01,262929,760507,EW5,749371
480,82414,2024-01,91460,289097,EW6,247468
481,117139,2024-01,129532,389727,EW7,341102
482,191787,2024-01,195754,500998,EW9,500972
483,112323,2024-01,108583,377801,NE10,379162
484,97653,2024-01,99133,308068,NE11,300663
485,182566,2024-01,179403,507133,NE13,501818
486,231458,2024-01,224753,720160,NE14,737003
487,153961,2024-01,153674,474323,NE15,477346
488,88003,2024-01,94607,314559,NE5,299594
489,306045,2024-01,321850,631929,NE8,570732
490,168727,2024-01,149722,499262,NE9,554391
491,289495,2024-01,264685,894916,NS10,1005519
492,296413,2024-01,297696,931299,NS11,922550
493,121512,2024-01,114269,350525,NS12,382194
494,393309,2024-01,410322,1302756,NS13,1218910
495,245077,2024-01,221207,717466,NS14,801953
496,104637,2024-01,94073,547741,NS15,591944
497,330556,2024-01,355583,1119680,NS16,1017234
498,104004,2024-01,98255,320346,NS18,354151
499,268787,2024-01,278546,860850,NS19,819414
500,192549,2024-01,202613,667015,NS2,635085
501,227199,2024-01,221624,873012,NS20,886216
502,289552,2024-01,299359,717120,NS23,680666
503,24623,2024-01,23357,41627,NS28,41654
504,146187,2024-01,144002,447729,NS3,468742
505,204029,2024-01,203547,676815,NS5,711617
506,255673,2024-01,210335,526224,NS7,560791
507,154389,2024-01,125183,409818,NS8,516629
508,27444,2024-01,26976,84002,PE1,85311
509,40632,2024-01,38612,124183,PE2,132001
510,43215,2024-01,44271,146624,PE3,137854
511,14252,2024-01,14049,36148,PE4,39914
512,40327,2024-01,36987,128172,PE5,141143
513,54426,2024-01,51781,155430,PE6,160884
514,37102,2024-01,35225,110094,PE7,111590
515,14788,2024-01,18272,33700,PW1,26683
516,11569,2024-01,10737,33626,PW3,38084
517,45209,2024-01,43027,106473,PW4,110404
518,31879,2024-01,33201,76818,PW5,72597
519,12318,2024-01,10441,35139,PW6,41957
520,22156,2024-01,23755,76580,PW7,69283
521,31204,2024-01,30830,106388,SE1,106140
522,42027,2024-01,40299,121675,SE2,128105
523,23388,2024-01,22658,72313,SE3,75168
524,28594,2024-01,27649,79087,SE4,80563
525,19833,2024-01,19598,70130,SE5,69547
526,17065,2024-01,16419,67458,SW1,66469
527,37603,2024-01,34853,88133,SW2,94371
528,16332,2024-01,16022,56479,SW3,60394
529,17835,2024-01,17921,56053,SW4,55755
530,63747,2024-01,61159,174333,SW5,185176
531,26650,2024-01,24609,91070,SW6,96202
532,19559,2024-01,18115,57364,SW7,62237
533,14958,2024-01,14515,52025,SW8,52206
534,27236,2024-01,25995,161703,TE1,206767
535,24686,2024-01,21135,98949,TE12,97063
536,22791,2024-01,23084,80635,TE13,75800
537,52948,2024-01,54599,166081,TE15,154105
538,47024,2024-01,45041,133130,TE16,138400
539,70946,2024-01,64135,169621,TE18,177691
540,19606,2024-01,17386,205879,TE19,204814
541,28796,2024-01,42584,64245,TE22,37860
542,52346,2024-01,47691,216025,TE3,236632
543,31085,2024-01,28650,99710,TE4,103461
544,26393,2024-01,27750,98997,TE5,96901
545,63572,2024-01,65845,223116,TE6,238545
546,35732,2024-01,35571,137996,TE7,141489
547,72650,2024-01,66697,187522,TE8,192342
548,290912,2024-01,304999,994502,BP6,937966
549,290912,2024-01,304999,994502,DT1,937966
550,104451,2024-01,98122,361088,CC10,386395
551,104451,2024-01,98122,361088,DT26,386395
552,35161,2024-01,35769,169701,CC17,186324
553,35161,2024-01,35769,169701,TE9,186324
554,57219,2024-01,62112,150478,CC19,142228
555,57219,2024-01,62112,150478,DT9,142228
556,140748,2024-01,147515,465241,CC4,450077
557,140748,2024-01,147515,465241,DT15,450077
558,377523,2024-01,346922,614823,CE1,641747
559,377523,2024-01,346922,614823,DT16,641747
560,91748,2024-01,95305,339174,CG1,333796
561,91748,2024-01,95305,339174,DT35,333796
562,50879,2024-01,45295,169302,DT10,196313
563,50879,2024-01,45295,169302,TE11,196313
564,509940,2024-01,523079,1208067,EW12,1175656
565,509940,2024-01,523079,1208067,DT14,1175656
566,152606,2024-01,153912,1354293,EW14,1370470
567,152606,2024-01,153912,1354293,NS26,1370470
568,165531,2024-01,159962,759228,EW16,796893
569,165531,2024-01,159962,759228,NE3,796893
570,165531,2024-01,159962,759228,TE17,796893
571,397215,2024-01,396480,1235580,EW2,1197008
572,397215,2024-01,396480,1235580,DT32,1197008
573,141626,2024-01,131868,603412,EW21,647996
574,141626,2024-01,131868,603412,CC22,647996
575,565311,2024-01,555514,1544005,EW24,1538964
576,565311,2024-01,555514,1544005,NS1,1538964
577,448749,2024-01,453727,1035172,EW8,1009284
578,448749,2024-01,453727,1035172,CC9,1009284
579,409954,2024-01,400498,982111,NE1,990745
580,409954,2024-01,400498,982111,CC29,990745
581,450216,2024-01,461355,1327915,NE12,1288179
582,450216,2024-01,461355,1327915,CC13,1288179
583,326472,2024-01,332066,1018326,NE16,989258
584,326472,2024-01,332066,1018326,STC,989258
585,345217,2024-01,338030,948905,NE17,965353
586,345217,2024-01,338030,948905,PTC,965353
587,489036,2024-01,490334,1132686,NE4,1141733
588,489036,2024-01,490334,1132686,DT19,1141733
589,290904,2024-01,318349,609722,NE7,558964
590,290904,2024-01,318349,609722,DT12,558964
591,300833,2024-01,287801,924931,NS17,988056
592,300833,2024-01,287801,924931,CC15,988056
593,439028,2024-01,455939,1326441,NS21,1275173
594,439028,2024-01,455939,1326441,DT11,1275173
595,288170,2024-01,276499,673895,NS24,717459
596,288170,2024-01,276499,673895,NE6,717459
597,288170,2024-01,276499,673895,CC1,717459
598,470214,2024-01,463116,923781,NS25,922192
