,Unnamed: 0,Name,MRTLine,TrainStationCode,Latitude,Longitude
150,150,Bangkit,Bukit Panjang LRT,BP9,1.38002223010088,103.772647370452
151,151,Fajar,Bukit Panjang LRT,BP10,1.38457317668026,103.770887223018
152,152,Segar,Bukit Panjang LRT,BP11,1.38778508663361,103.769599685249
153,153,Jelapang,Bukit Panjang LRT,BP12,1.38673926997961,103.76453408646
154,154,Senja,Bukit Panjang LRT,BP13,1.38272547134453,103.76234425472
155,155,Sengkang,Sengkang LRT,STC,1.39174613283898,103.895508171163
156,156,Compassvale,Sengkang LRT,SE1,1.39449304450373,103.900492450944
157,157,Rumbia,Sengkang LRT,SE2,1.39146849534132,103.90597359341
158,158,Bakau,Sengkang LRT,SE3,1.38799431054768,103.905415300171
159,159,Kangkar,Sengkang LRT,SE4,1.38395911688913,103.90222537044
160,160,Ranggung,Sengkang LRT,SE5,1.38423355918277,103.897194667804
161,161,Cheng Lim,Sengkang LRT,SW1,1.39627763344324,103.893797181731
162,162,Farmway,Sengkang LRT,SW2,1.39717019591821,103.889304824196
163,163,Kupang,Sengkang LRT,SW3,1.39821283031379,103.881256222255
164,164,Thanggam,Sengkang LRT,SW4,1.39731815581938,103.875635154729
165,165,Fernvale,Sengkang LRT,SW5,1.39188589234766,103.87630862552
166,166,Layar,Sengkang LRT,SW6,1.39207983659997,103.880029600546
167,167,Tongkang,Sengkang LRT,SW7,1.38934794658941,103.885844150116
168,168,Renjong,Sengkang LRT,SW8,1.38670058991904,103.89062131608
169,169,Punggol,Punggol LRT,PTC,1.40512956754102,103.902369773585
170,170,Cove,Punggol LRT,PE1,1.39928198837342,103.905961941214
171,171,Meridian,Punggol LRT,PE2,1.3969120498774,103.908950224489
172,172,Coral Edge,Punggol LRT,PE3,1.39390922863313,103.912580845515
173,173,Riviera,Punggol LRT,PE4,1.39451978540251,103.916169381157
174,174,Kadaloor,Punggol LRT,PE5,1.39950910636258,103.916574974234
175,175,Oasis,Punggol LRT,PE6,1.40228667971123,103.912727352412
176,176,Damai,Punggol LRT,PE7,1.40523483636957,103.908603542566
177,177,Sam Kee,Punggol LRT,PW1,1.40961268528804,103.904831550608
178,178,Punggol Point,Punggol LRT,PW3,1.41684852031206,103.906650789313
179,179,Samudera,Punggol LRT,PW4,1.41590172160383,103.902156317163
180,180,Nibong,Punggol LRT,PW5,1.41185447744238,103.900339452055
181,181,Sumang,Punggol LRT,PW6,1.40845241943079,103.898558450395
182,182,Soo Teck,Punggol LRT,PW7,1.40532331860455,103.897290522033
183,183,Woodlands North ,Thomson-East Coast Line,TE1,1.44829245259621,103.785692682441
184,184,Woodlands ,Thomson-East Coast Line,TE2,1.43681962961519,103.786066799253
185,185,Woodlands South ,Thomson-East Coast Line,TE3,1.42739605281442,103.79326432221
186,186,Springleaf,Thomson-East Coast Line,TE4,1.39758106126824,103.817856949947
187,187,Lentor,Thomson-East Coast Line,TE5,1.38550657972169,103.835743809669
188,188,Mayflower,Thomson-East Coast Line,TE6,1.37146318831015,103.836567766945
189,189,Bright Hill,Thomson-East Coast Line,TE7,1.36328318545185,103.832893619992
190,190,Upper Thomson,Thomson-East Coast Line,TE8,1.35441643365401,103.832898468504
191,191,Caldecott,Thomson-East Coast Line,TE9,1.33734722320212,103.839544077561
192,192,Stevens,Thomson-East Coast Line,TE11,1.32006555750626,103.826024401924
193,193,Napier,Thomson-East Coast Line,TE12,1.30678223364785,103.818956796815
194,194,Orchard Boulevard,Thomson-East Coast Line,TE13,1.30242224836722,103.823868523249
195,195,Orchard,Thomson-East Coast Line,TE14,1.30242224836722,103.823868523249
196,196,Great World,Thomson-East Coast Line,TE15,1.29394816169384,103.833720837731
197,197,Havelock,Thomson-East Coast Line,TE16,1.28850523975311,103.833585838226
198,198,Outram Park,Thomson-East Coast Line,TE17,1.27973970679335,103.839513521005
199,199,Maxwell,Thomson-East Coast Line,TE18,1.28053329842878,103.843883670633
200,200,Shenton Way,Thomson-East Coast Line,TE19,1.2777168283425,103.850367596067
201,201,Marina Bay,Thomson-East Coast Line,TE20,1.27642735476716,103.854597776754
202,202,Gardens by the Bay,Thomson-East Coast Line,TE22,1.27848725876303,103.867454664421
