,WeekendTapIn,YearMonth,WeekendTapOut,BusStopCode,WeekdayTapIn,WeekdayTapOut
91,340.0,2024-03,861.0,3539,2153.0,2553.0
92,6.0,2024-03,171.0,3549,5.0,237.0
93,18.0,2024-03,731.0,3579,48.0,1138.0
94,5031.0,2024-03,6636.0,4019,10011.0,15335.0
95,6084.0,2024-03,3120.0,4029,12051.0,6203.0
96,16688.0,2024-03,20045.0,4111,26697.0,34500.0
97,15999.0,2024-03,13046.0,4121,38133.0,26798.0
98,14567.0,2024-03,12053.0,4142,21489.0,21420.0
99,9797.0,2024-03,2998.0,4143,15818.0,6938.0
100,5092.0,2024-03,14867.0,4149,10302.0,22592.0
101,5467.0,2024-03,5701.0,4151,10188.0,9339.0
102,3813.0,2024-03,7476.0,4159,7377.0,13818.0
103,20633.0,2024-03,20511.0,4167,44289.0,31060.0
104,15782.0,2024-03,15468.0,4168,25203.0,21166.0
105,10948.0,2024-03,14629.0,4179,21732.0,26806.0
106,2519.0,2024-03,1898.0,4211,4385.0,2648.0
107,557.0,2024-03,1827.0,4219,758.0,3051.0
108,46500.0,2024-03,26935.0,4222,95221.0,51099.0
109,14491.0,2024-03,9026.0,4223,23870.0,21064.0
110,3015.0,2024-03,5934.0,4229,7186.0,10642.0
111,6482.0,2024-03,14876.0,4239,11536.0,30592.0
112,11458.0,2024-03,11511.0,4249,21856.0,27151.0
113,1565.0,2024-03,1017.0,4251,4860.0,1581.0
114,4386.0,2024-03,2255.0,4311,4782.0,2240.0
115,6792.0,2024-03,5609.0,4321,13632.0,11203.0
116,3829.0,2024-03,5174.0,4329,7686.0,8653.0
117,5361.0,2024-03,1249.0,4331,13941.0,2422.0
118,1536.0,2024-03,5860.0,4339,2831.0,16334.0
119,8947.0,2024-03,13567.0,5012,13545.0,20098.0
120,57766.0,2024-03,62498.0,5013,90440.0,120627.0
121,6032.0,2024-03,8021.0,5019,12409.0,12779.0
122,38669.0,2024-03,31448.0,5022,68580.0,65968.0
123,9569.0,2024-03,6712.0,5023,19994.0,14018.0
124,8891.0,2024-03,13054.0,5029,21565.0,31067.0
125,61667.0,2024-03,49280.0,5039,99916.0,75434.0
126,34294.0,2024-03,43728.0,5049,70461.0,69435.0
127,1628.0,2024-03,4961.0,5059,3802.0,12311.0
128,15277.0,2024-03,2052.0,5069,41500.0,4242.0
129,645.0,2024-03,1996.0,5129,2759.0,5178.0
130,13321.0,2024-03,16637.0,5131,28036.0,29625.0
131,5102.0,2024-03,8424.0,5189,9167.0,12939.0
132,6176.0,2024-03,7719.0,5199,18444.0,17609.0
133,2618.0,2024-03,4509.0,5239,5829.0,7706.0
134,4278.0,2024-03,3118.0,5241,6255.0,5422.0
135,2011.0,2024-03,3656.0,5259,3490.0,6453.0
136,5984.0,2024-03,10189.0,5269,11000.0,17064.0
137,5064.0,2024-03,3261.0,5271,8195.0,6437.0
138,122.0,2024-03,1816.0,5319,1310.0,12840.0
139,11006.0,2024-03,4419.0,5411,20453.0,8883.0
140,5650.0,2024-03,7513.0,5419,11769.0,15242.0
141,4536.0,2024-03,1393.0,5421,7205.0,2347.0
142,1731.0,2024-03,5459.0,5429,3066.0,10234.0
143,510.0,2024-03,1772.0,5431,1048.0,4349.0
144,3768.0,2024-03,7945.0,5519,10456.0,19498.0
145,4687.0,2024-03,3064.0,5521,11555.0,7443.0
146,818.0,2024-03,1432.0,5629,2966.0,7514.0
147,6417.0,2024-03,3868.0,5631,15957.0,9041.0
148,5273.0,2024-03,3239.0,5641,17661.0,12282.0
149,3937.0,2024-03,4477.0,5649,14370.0,13968.0
150,1069.0,2024-03,509.0,5651,5466.0,1349.0
151,9276.0,2024-03,6860.0,6011,33705.0,24142.0
152,9801.0,2024-03,12684.0,6029,27113.0,36278.0
153,1969.0,2024-03,2376.0,6031,7225.0,5403.0
154,3113.0,2024-03,2395.0,6039,7198.0,8988.0
155,5740.0,2024-03,2756.0,6049,10963.0,6731.0
156,13267.0,2024-03,19118.0,6051,23772.0,33184.0
157,3510.0,2024-03,4228.0,6069,8613.0,8729.0
158,5780.0,2024-03,7230.0,6071,11006.0,20454.0
159,3457.0,2024-03,2789.0,6081,6625.0,6134.0
160,3096.0,2024-03,5201.0,6129,8311.0,9469.0
161,3578.0,2024-03,3274.0,6131,6124.0,7306.0
162,2218.0,2024-03,4156.0,6141,4958.0,7959.0
163,4347.0,2024-03,3252.0,6149,8548.0,7230.0
164,4631.0,2024-03,9296.0,6151,7991.0,16053.0
165,8100.0,2024-03,3817.0,6159,15050.0,6983.0
166,5363.0,2024-03,7265.0,6161,12362.0,14151.0
167,9109.0,2024-03,5435.0,6169,17228.0,13138.0
168,18838.0,2024-03,8560.0,6171,35836.0,16951.0
169,1958.0,2024-03,3039.0,6189,3581.0,5757.0
170,13013.0,2024-03,13716.0,7011,29418.0,30794.0
171,7125.0,2024-03,7809.0,7021,14969.0,13098.0
172,64480.0,2024-03,42431.0,7031,92092.0,66604.0
173,66595.0,2024-03,36851.0,7111,77474.0,52626.0
174,62222.0,2024-03,36907.0,7211,103770.0,55636.0
175,7791.0,2024-03,9043.0,7221,15733.0,15803.0
176,6837.0,2024-03,24773.0,7231,11062.0,30797.0
177,949.0,2024-03,1303.0,7241,1785.0,2503.0
178,3124.0,2024-03,3764.0,7249,5908.0,6490.0
179,19757.0,2024-03,32782.0,7319,31944.0,37438.0
180,24391.0,2024-03,22393.0,7329,42896.0,40575.0
181,1198.0,2024-03,1746.0,7331,2629.0,3278.0
182,8484.0,2024-03,11409.0,7351,17130.0,19865.0
183,9149.0,2024-03,8037.0,7359,15837.0,14463.0
184,9047.0,2024-03,6887.0,7361,20162.0,12002.0
185,9586.0,2024-03,12198.0,7369,20642.0,28173.0
186,18481.0,2024-03,12921.0,7371,40410.0,22930.0
187,11732.0,2024-03,15043.0,7379,21629.0,40750.0
188,33323.0,2024-03,37523.0,7419,51284.0,52017.0
189,14143.0,2024-03,15546.0,7517,20719.0,24702.0
190,21938.0,2024-03,42723.0,7518,35419.0,74963.0
191,20010.0,2024-03,20677.0,7529,35475.0,36141.0
192,23210.0,2024-03,25476.0,7531,43226.0,47124.0
193,18405.0,2024-03,13648.0,7539,27508.0,23048.0
194,19420.0,2024-03,10254.0,7551,34557.0,17292.0
195,2269.0,2024-03,164.0,7561,4412.0,327.0
196,1462.0,2024-03,2307.0,7569,2140.0,3848.0
197,1835.0,2024-03,241.0,7571,3349.0,453.0
198,7426.0,2024-03,6538.0,7589,12731.0,12033.0
199,2592.0,2024-03,1853.0,8011,3179.0,4233.0
200,3505.0,2024-03,4366.0,8019,6770.0,6230.0
201,44918.0,2024-03,24693.0,8031,83156.0,41795.0
202,28459.0,2024-03,19150.0,8041,55565.0,30957.0
203,52936.0,2024-03,81821.0,8057,91244.0,157589.0
204,8376.0,2024-03,10361.0,8058,16149.0,16909.0
205,21536.0,2024-03,35072.0,8069,42337.0,79715.0
206,7579.0,2024-03,6733.0,8079,15931.0,13052.0
207,12508.0,2024-03,21362.0,8111,25370.0,40391.0
208,55720.0,2024-03,42078.0,8121,89002.0,64623.0
209,6783.0,2024-03,2489.0,8137,9702.0,3705.0
210,30093.0,2024-03,19685.0,8138,47867.0,34368.0
211,13652.0,2024-03,11650.0,9011,22929.0,19652.0
212,54388.0,2024-03,35796.0,9022,77891.0,36828.0
213,21893.0,2024-03,7635.0,9023,37068.0,9796.0
214,38455.0,2024-03,33917.0,9037,60226.0,54679.0
215,35779.0,2024-03,32478.0,9038,52016.0,49834.0
216,29836.0,2024-03,70677.0,9047,40528.0,101526.0
217,60323.0,2024-03,66195.0,9048,77749.0,90415.0
218,12958.0,2024-03,10103.0,9059,20977.0,15583.0
219,14283.0,2024-03,9608.0,9111,26531.0,17187.0
220,1530.0,2024-03,2952.0,9121,3704.0,6109.0
221,6178.0,2024-03,7093.0,9131,14982.0,15691.0
222,1111.0,2024-03,1008.0,9139,3050.0,2410.0
223,2886.0,2024-03,1099.0,9141,7062.0,2890.0
224,1789.0,2024-03,2531.0,9149,4530.0,5689.0
225,9951.0,2024-03,5537.0,9159,22893.0,15719.0
226,24768.0,2024-03,19443.0,9169,46932.0,35725.0
227,22424.0,2024-03,27702.0,9179,38967.0,47275.0
228,2318.0,2024-03,2893.0,9191,5768.0,6899.0
229,28220.0,2024-03,12711.0,9212,55258.0,24119.0
230,17190.0,2024-03,7747.0,9213,32388.0,15275.0
231,34621.0,2024-03,50051.0,9219,64349.0,97994.0
232,51882.0,2024-03,52323.0,10009,135111.0,129776.0
233,5072.0,2024-03,7477.0,10011,14981.0,21512.0
234,8940.0,2024-03,6726.0,10017,30578.0,18874.0
235,6167.0,2024-03,25623.0,10018,34034.0,73502.0
236,3375.0,2024-03,4523.0,10021,7260.0,9337.0
237,17601.0,2024-03,26621.0,10041,40622.0,55612.0
238,17395.0,2024-03,10303.0,10049,35360.0,25521.0
239,5970.0,2024-03,10118.0,10051,12409.0,19806.0
240,5939.0,2024-03,3982.0,10059,9411.0,7349.0
241,4984.0,2024-03,9367.0,10061,11463.0,18428.0
242,6306.0,2024-03,3953.0,10069,12574.0,9574.0
243,17838.0,2024-03,30643.0,10071,40948.0,61461.0
244,34252.0,2024-03,18435.0,10079,67968.0,42725.0
245,6437.0,2024-03,10956.0,10081,21845.0,40355.0
246,17379.0,2024-03,9333.0,10089,45872.0,24421.0
247,13196.0,2024-03,14739.0,10091,35539.0,44752.0
248,11948.0,2024-03,8721.0,10099,31292.0,23328.0
249,3324.0,2024-03,3268.0,10101,21005.0,21870.0
250,1757.0,2024-03,1283.0,10109,14475.0,10404.0
251,7610.0,2024-03,13432.0,10111,33367.0,37323.0
252,8129.0,2024-03,4240.0,10119,28114.0,22835.0
253,3224.0,2024-03,14261.0,10121,7558.0,28980.0
254,11276.0,2024-03,2951.0,10129,22732.0,6286.0
255,13761.0,2024-03,10850.0,10131,31836.0,20094.0
256,16680.0,2024-03,15247.0,10139,37045.0,45900.0
257,23407.0,2024-03,13540.0,10141,38817.0,21440.0
258,19722.0,2024-03,25407.0,10149,32026.0,40638.0
259,7453.0,2024-03,12730.0,10151,16110.0,23047.0
260,76061.0,2024-03,55973.0,10161,189362.0,106759.0
261,77274.0,2024-03,84366.0,10169,146426.0,206996.0
262,2912.0,2024-03,4595.0,10171,5506.0,8922.0
263,3114.0,2024-03,2671.0,10179,6986.0,5128.0
264,8665.0,2024-03,13587.0,10181,19178.0,24688.0
265,13151.0,2024-03,8728.0,10189,25873.0,21572.0
266,16331.0,2024-03,19229.0,10191,27324.0,29300.0
267,17610.0,2024-03,11202.0,10199,26378.0,17498.0
268,32626.0,2024-03,22283.0,10201,80375.0,55841.0
269,29191.0,2024-03,35057.0,10209,76666.0,85218.0
270,218.0,2024-03,87.0,10211,1084.0,421.0
271,98.0,2024-03,197.0,10219,419.0,786.0
272,1967.0,2024-03,2888.0,10221,4700.0,5619.0
273,1902.0,2024-03,2145.0,10229,3352.0,3665.0
274,7157.0,2024-03,10203.0,10231,14349.0,20784.0
275,11704.0,2024-03,8181.0,10239,24603.0,17107.0
276,1861.0,2024-03,4120.0,10241,14423.0,13207.0
277,3032.0,2024-03,1706.0,10249,15474.0,11852.0
278,2685.0,2024-03,4091.0,10261,5624.0,7548.0
279,2286.0,2024-03,1486.0,10269,4358.0,2968.0
280,2735.0,2024-03,5087.0,10271,5609.0,13594.0
281,4518.0,2024-03,2180.0,10279,9638.0,4475.0
282,5103.0,2024-03,6568.0,10281,15069.0,19445.0
283,3427.0,2024-03,2496.0,10289,7498.0,6539.0
284,14564.0,2024-03,24962.0,10291,36645.0,51664.0
285,29680.0,2024-03,20161.0,10299,67221.0,52026.0
286,5834.0,2024-03,4241.0,10321,15395.0,10758.0
287,3825.0,2024-03,5963.0,10329,13613.0,13912.0
288,2099.0,2024-03,3129.0,10331,7098.0,11778.0
289,3420.0,2024-03,3374.0,10339,13844.0,18017.0
290,13122.0,2024-03,5114.0,10341,29964.0,9529.0
291,8264.0,2024-03,25913.0,10349,16555.0,53790.0
292,12390.0,2024-03,2934.0,10351,22774.0,6547.0
293,832.0,2024-03,4622.0,10359,1974.0,8568.0
294,7721.0,2024-03,5059.0,10361,34975.0,13146.0
295,6432.0,2024-03,10346.0,10369,14272.0,33414.0
296,16560.0,2024-03,8316.0,10371,33058.0,17882.0
297,7371.0,2024-03,15610.0,10379,15461.0,30383.0
298,5402.0,2024-03,6280.0,10381,9780.0,14697.0
299,10791.0,2024-03,8333.0,10389,22137.0,15167.0
300,11335.0,2024-03,6293.0,10391,22463.0,12151.0
301,5504.0,2024-03,7343.0,10399,10549.0,14371.0
302,3311.0,2024-03,13.0,10401,6613.0,39.0
303,52.0,2024-03,4038.0,10409,121.0,8343.0
304,601.0,2024-03,30.0,10411,1794.0,100.0
305,20.0,2024-03,1139.0,10419,160.0,2393.0
306,3546.0,2024-03,2921.0,10421,7532.0,7409.0
307,1380.0,2024-03,3779.0,10429,2940.0,7956.0
308,648.0,2024-03,1043.0,10431,2952.0,2730.0
309,770.0,2024-03,1242.0,10439,1854.0,3745.0
310,291.0,2024-03,1385.0,10441,663.0,3401.0
311,1016.0,2024-03,1264.0,10449,2355.0,2830.0
312,1236.0,2024-03,291.0,10451,2927.0,862.0
313,309.0,2024-03,1526.0,10459,1225.0,3343.0
314,4381.0,2024-03,2411.0,10461,8742.0,6328.0
315,3150.0,2024-03,5595.0,10469,7515.0,11742.0
316,169.0,2024-03,142.0,10471,1996.0,2041.0
317,191.0,2024-03,467.0,10479,2067.0,5105.0
318,4819.0,2024-03,2508.0,10481,7976.0,4475.0
319,2703.0,2024-03,2481.0,10489,4123.0,3466.0
320,3766.0,2024-03,3240.0,10499,5990.0,5698.0
321,1886.0,2024-03,2066.0,10501,4756.0,4466.0
322,4815.0,2024-03,6240.0,10519,11298.0,14171.0
323,8612.0,2024-03,10112.0,10599,16436.0,18967.0
324,1287.0,2024-03,4082.0,10651,2915.0,15254.0
325,1875.0,2024-03,569.0,10659,7413.0,1155.0
326,620.0,2024-03,9179.0,11001,1878.0,20999.0
327,14415.0,2024-03,1208.0,11009,32226.0,2980.0
328,13640.0,2024-03,17395.0,11019,21901.0,28397.0
329,16997.0,2024-03,11130.0,11021,32783.0,25180.0
330,16062.0,2024-03,17566.0,11029,32745.0,36173.0
331,4996.0,2024-03,2612.0,11031,10445.0,5261.0
332,3537.0,2024-03,4732.0,11039,6831.0,10027.0
333,9674.0,2024-03,3817.0,11041,10595.0,5329.0
334,4359.0,2024-03,10242.0,11049,5652.0,11363.0
335,6047.0,2024-03,2825.0,11051,21326.0,10285.0
336,4690.0,2024-03,8766.0,11059,16241.0,30496.0
337,4604.0,2024-03,4286.0,11061,10521.0,9816.0
338,1668.0,2024-03,2294.0,11069,3392.0,4021.0
339,9368.0,2024-03,9597.0,11071,16533.0,19360.0
340,4117.0,2024-03,8307.0,11079,7678.0,15514.0
341,1974.0,2024-03,1611.0,11081,3819.0,3707.0
342,1700.0,2024-03,1985.0,11089,4072.0,4188.0
343,3322.0,2024-03,2125.0,11091,7428.0,4694.0
344,1983.0,2024-03,3106.0,11099,4185.0,6559.0
345,11815.0,2024-03,12893.0,11101,21321.0,20845.0
346,10070.0,2024-03,7107.0,11109,16448.0,14373.0
347,9401.0,2024-03,13654.0,11111,26877.0,34240.0
348,16258.0,2024-03,9525.0,11119,36963.0,20342.0
349,1949.0,2024-03,6744.0,11131,4436.0,12389.0
350,7645.0,2024-03,3667.0,11139,12637.0,7838.0
351,17327.0,2024-03,22498.0,11141,34629.0,60902.0
352,21580.0,2024-03,14864.0,11149,52809.0,29670.0
353,9282.0,2024-03,9115.0,11151,15089.0,16721.0
354,19902.0,2024-03,16253.0,11159,32644.0,26553.0
355,35110.0,2024-03,47042.0,11161,77641.0,119416.0
356,56931.0,2024-03,40811.0,11169,145918.0,94795.0
357,3402.0,2024-03,9635.0,11171,8769.0,21779.0
358,17243.0,2024-03,6677.0,11179,38126.0,15023.0
359,10161.0,2024-03,8171.0,11181,24672.0,20677.0
360,22842.0,2024-03,19540.0,11189,50423.0,44745.0
361,8731.0,2024-03,5463.0,11191,15578.0,8498.0
362,7360.0,2024-03,7919.0,11199,12147.0,13734.0
363,3911.0,2024-03,8121.0,11201,4796.0,11744.0
364,8802.0,2024-03,4530.0,11209,12170.0,6436.0
365,2092.0,2024-03,2770.0,11211,3520.0,4546.0
366,2523.0,2024-03,1652.0,11219,4448.0,3254.0
367,3170.0,2024-03,5240.0,11221,6441.0,9156.0
368,5414.0,2024-03,2766.0,11229,9375.0,6026.0
369,2781.0,2024-03,4239.0,11231,6059.0,7579.0
370,5300.0,2024-03,3127.0,11239,9270.0,6404.0
371,626.0,2024-03,481.0,11259,1843.0,1497.0
372,18328.0,2024-03,13434.0,11261,38691.0,23125.0
373,8099.0,2024-03,8988.0,11269,12995.0,15511.0
374,1089.0,2024-03,2356.0,11271,2362.0,4658.0
375,2460.0,2024-03,972.0,11279,4248.0,1898.0
376,226.0,2024-03,790.0,11281,453.0,1488.0
377,951.0,2024-03,507.0,11289,1679.0,1014.0
378,3314.0,2024-03,5100.0,11291,6725.0,10743.0
379,3522.0,2024-03,1819.0,11299,7410.0,3577.0
380,721.0,2024-03,999.0,11301,1780.0,2095.0
381,686.0,2024-03,613.0,11309,1281.0,1465.0
382,334.0,2024-03,537.0,11311,745.0,949.0
383,685.0,2024-03,484.0,11319,1100.0,1078.0
384,609.0,2024-03,1300.0,11321,1316.0,2075.0
385,1706.0,2024-03,1267.0,11329,2868.0,2963.0
386,1005.0,2024-03,1308.0,11331,2054.0,2472.0
387,1157.0,2024-03,539.0,11339,2099.0,1428.0
388,3041.0,2024-03,3511.0,11341,6441.0,6191.0
389,2885.0,2024-03,3102.0,11349,4657.0,7309.0
390,422.0,2024-03,4270.0,11351,1205.0,9695.0
391,1313.0,2024-03,155.0,11359,3282.0,314.0
392,18912.0,2024-03,36532.0,11361,54493.0,148631.0
393,27317.0,2024-03,17574.0,11369,104323.0,47749.0
394,1219.0,2024-03,175.0,11379,2502.0,275.0
395,10994.0,2024-03,235.0,11381,25003.0,546.0
396,2.0,2024-03,19295.0,11389,5.0,37886.0
397,13559.0,2024-03,18079.0,11401,23613.0,33071.0
398,4857.0,2024-03,6135.0,11409,8761.0,11680.0
399,15511.0,2024-03,15849.0,11419,27484.0,29258.0
400,1554.0,2024-03,1301.0,11429,3892.0,3206.0
401,7755.0,2024-03,5011.0,11439,16576.0,10402.0
402,322.0,2024-03,443.0,11441,451.0,703.0
403,424.0,2024-03,492.0,11449,635.0,767.0
404,1002.0,2024-03,986.0,11451,1602.0,2080.0
405,1172.0,2024-03,905.0,11459,2484.0,1700.0
406,81.0,2024-03,445.0,11469,1310.0,1487.0
407,949.0,2024-03,1922.0,11471,3585.0,2910.0
408,2023.0,2024-03,1748.0,11481,4040.0,3878.0
409,3694.0,2024-03,3923.0,11489,6239.0,7267.0
410,1797.0,2024-03,1920.0,11491,4580.0,5258.0
411,2788.0,2024-03,3062.0,11499,7806.0,7235.0
412,15197.0,2024-03,15622.0,11511,40949.0,45408.0
413,18375.0,2024-03,25191.0,11519,48992.0,54216.0
414,26530.0,2024-03,8614.0,11521,42844.0,17320.0
415,4217.0,2024-03,17176.0,11529,8723.0,28436.0
416,2467.0,2024-03,1503.0,11531,7658.0,5383.0
417,1206.0,2024-03,1746.0,11539,5065.0,6088.0
418,465.0,2024-03,1012.0,11541,615.0,1865.0
419,899.0,2024-03,4262.0,11551,1183.0,7336.0
420,345.0,2024-03,1402.0,11561,674.0,2392.0
421,1834.0,2024-03,2975.0,11579,2541.0,4972.0
422,2047.0,2024-03,2335.0,11589,2977.0,4071.0
423,1713.0,2024-03,1400.0,11599,3193.0,2808.0
424,1134.0,2024-03,201.0,11609,1864.0,257.0
425,1512.0,2024-03,4145.0,12021,6112.0,8096.0
426,4087.0,2024-03,1471.0,12029,7704.0,4983.0
427,5904.0,2024-03,7051.0,12031,13083.0,16048.0
428,4306.0,2024-03,3578.0,12039,7526.0,6914.0
429,2922.0,2024-03,3590.0,12041,5378.0,5971.0
430,3775.0,2024-03,3245.0,12049,5938.0,5897.0
431,3638.0,2024-03,2835.0,12051,6992.0,5717.0
432,2015.0,2024-03,2660.0,12059,4068.0,5031.0
433,7341.0,2024-03,9094.0,12061,16625.0,22137.0
434,4487.0,2024-03,3915.0,12069,9956.0,8979.0
435,3058.0,2024-03,5676.0,12071,6203.0,11930.0
436,5644.0,2024-03,3722.0,12079,12209.0,7712.0
437,1143.0,2024-03,1864.0,12081,3193.0,4414.0
438,2682.0,2024-03,2399.0,12089,6943.0,7363.0
439,12267.0,2024-03,7732.0,12091,83994.0,49360.0
440,6339.0,2024-03,7734.0,12099,38308.0,66555.0
441,3428.0,2024-03,2995.0,12101,26259.0,20262.0
442,2081.0,2024-03,2347.0,12109,14367.0,18502.0
443,589.0,2024-03,1257.0,12111,1957.0,3139.0
444,1648.0,2024-03,1288.0,12119,3900.0,3723.0
445,2238.0,2024-03,7818.0,12121,6185.0,18275.0
446,3079.0,2024-03,1510.0,12129,7535.0,4730.0
447,100.0,2024-03,868.0,12131,216.0,2593.0
448,856.0,2024-03,127.0,12139,2366.0,303.0
449,159.0,2024-03,1108.0,12141,1228.0,4854.0
450,1047.0,2024-03,104.0,12149,4284.0,728.0
451,126.0,2024-03,261.0,12151,183.0,572.0
452,614.0,2024-03,618.0,12169,1782.0,1760.0
453,1922.0,2024-03,2211.0,12179,5363.0,6859.0
454,686.0,2024-03,69.0,12189,1787.0,282.0
455,609.0,2024-03,602.0,12199,1561.0,1630.0
456,816.0,2024-03,3223.0,12201,6790.0,16555.0
457,2863.0,2024-03,906.0,12209,13753.0,5133.0
458,385.0,2024-03,1489.0,12211,1187.0,5232.0
459,11437.0,2024-03,4189.0,13011,29630.0,8968.0
460,11035.0,2024-03,11636.0,13019,23707.0,30414.0
461,1704.0,2024-03,3628.0,13021,3671.0,6597.0
462,3316.0,2024-03,1768.0,13029,5564.0,3583.0
463,2781.0,2024-03,1706.0,13031,5737.0,4617.0
464,1578.0,2024-03,2784.0,13039,4308.0,6708.0
465,811.0,2024-03,306.0,13041,1644.0,1410.0
466,228.0,2024-03,469.0,13049,830.0,1374.0
467,18216.0,2024-03,7461.0,13051,40555.0,18272.0
468,6398.0,2024-03,15581.0,13059,15627.0,33551.0
