,Name,MRTLine,TrainStationCode
167,Tongkang,Sengkang LRT,SW7
168,Renjong,Sengkang LRT,SW8
169,Punggol,Punggol LRT,PTC
170,Cove,Punggol LRT,PE1
171,Meridian,Punggol LRT,PE2
172,Coral Edge,Punggol LRT,PE3
173,Riviera,Punggol LRT,PE4
174,Kadaloor,Punggol LRT,PE5
175,Oasis,Punggol LRT,PE6
176,Damai,Punggol LRT,PE7
177,Sam Kee,Punggol LRT,PW1
178,Punggol Point,Punggol LRT,PW3
179,Samudera,Punggol LRT,PW4
180,Nibong,Punggol LRT,PW5
181,Sumang,Punggol LRT,PW6
182,Soo Teck,Punggol LRT,PW7
183,Woodlands North ,Thomson-East Coast Line,TE1
184,Woodlands ,Thomson-East Coast Line,TE2
185,Woodlands South ,Thomson-East Coast Line,TE3
186,Springleaf,Thomson-East Coast Line,TE4
187,Lentor,Thomson-East Coast Line,TE5
188,Mayflower,Thomson-East Coast Line,TE6
189,Bright Hill,Thomson-East Coast Line,TE7
190,Upper Thomson,Thomson-East Coast Line,TE8
191,Caldecott,Thomson-East Coast Line,TE9
192,Stevens,Thomson-East Coast Line,TE11
193,Napier,Thomson-East Coast Line,TE12
194,Orchard Boulevard,Thomson-East Coast Line,TE13
195,Orchard,Thomson-East Coast Line,TE14
196,Great World,Thomson-East Coast Line,TE15
197,Havelock,Thomson-East Coast Line,TE16
198,Outram Park,Thomson-East Coast Line,TE17
199,Maxwell,Thomson-East Coast Line,TE18
200,Shenton Way,Thomson-East Coast Line,TE19
201,Marina Bay,Thomson-East Coast Line,TE20
202,Gardens by the Bay,Thomson-East Coast Line,TE22
