,Description,RoadName,Longitude,Latitude,BusStopCode,LinkID
121,Aft Duxton Plain Pk,New Bridge Rd,103.84105000000471,1.28118388885484,5019,103075540
122,Aft Chinatown Stn Exit D,Eu Tong Sen St,103.84437203405348,1.28571089865595,5022,103066056
123,Opp Hong Lim Pk,Eu Tong Sen St,103.84540375642476,1.28692928357498,5023,103100588
124,Boat Quay,Sth Bridge Rd,103.84819780822524,1.28712283362119,5029,103076388
125,New Bridge Ctr,New Bridge Rd,103.84254276754574,1.28293819129834,5039,103071316
126,Chinatown Stn Exit E,New Bridge Rd,103.84455070696784,1.28531114761754,5049,103055576
127,Hong Lim Pk,New Bridge Rd,103.84575036447065,1.28676420118491,5059,103076392
128,OUTRAM PK STN EXIT 4,New Bridge Rd,103.84029791443083,1.28027629959632,5069,103057072
129,Opp One Upp Pickering,Upp Pickering St,103.84634666701145,1.28601166699569,5129,103104060
130,Opp Hong Lim Cplx,Upp Cross St,103.8453381,1.284073056,5131,103107536
131,Opp Sri Mariamman Tp,Sth Bridge Rd,103.84528061446952,1.2820913960391,5189,103076412
132,Opp Hong Lim Cplx,Sth Bridge Rd,103.84666049314173,1.28451455846092,5199,103074168
133,Bef The Pinnacle@Duxton,Neil Rd,103.8415105424013,1.27854113014976,5239,103077560
134,Opp Blk 333,Kreta Ayer Rd,103.84227488654868,1.28071988238536,5241,103006560
135,OPP MAXWELL STN EXIT 3,Neil Rd,103.84262707605176,1.27979447837032,5259,103075492
136,MAXWELL STN EXIT 2,Sth Bridge Rd,103.844567,1.280894,5269,103057068
137,Opp Fairfield Meth Ch,Tg Pagar Rd,103.84382212419122,1.27975329525167,5271,103076447
138,OCBC Ctr,Church St,103.849114,1.284437,5319,103086448
139,Tg Pagar Plaza,Tg Pagar Rd,103.84309190393884,1.27519165673078,5411,103079155
140,The Amara,Tg Pagar Rd,103.84318683838887,1.27470669455555,5419,103057047
141,Aft Craig Rd,Tg Pagar Rd,103.84346347289252,1.27777470568529,5421,103110164
142,Bef Craig Rd,Tg Pagar Rd,103.84370654372523,1.27769413050075,5429,103078758
143,Aft Tanjong Pagar Rd,Hoe Chiang Rd,103.8420461,1.27408,5431,103020792
144,Blk 1G,Cantonment Rd,103.84112694400494,1.27553472200739,5519,112000098
145,Maritime Hse,Cantonment Rd,103.84059222200348,1.27676861098316,5521,103080930
146,Opp Southpoint,Cantonment Rd,103.84187,1.273211389,5629,103055972
147,Blk 16,Cantonment Link,103.84034718190608,1.27346055934188,5631,103013169
148,Bef Cantonment Rd,Keppel Rd,103.84140618785226,1.27272393115133,5641,106004332
149,Opp Customs Port Br HQ,Keppel Rd,103.84093912218094,1.2723842122117,5649,106002944
150,Opp Fuji Xerox Twrs,Tg Pagar Rd,103.8430731,1.273218611,5651,104002908
151,OUTRAM PK STN EXIT 7,Outram Rd,103.83801388886192,1.28165999996967,6011,103091738
152,OUTRAM PK STN EXIT 1,Outram Rd,103.8383828488293,1.28177041153491,6029,103072655
153,Opp Blk 13,Chin Swee Rd,103.83879166662209,1.28607055552165,6031,116000944
154,Blk 8,Chin Swee Rd,103.83962555611691,1.28705997883119,6039,103116764
155,BEF OUTRAM FLYOVER,Outram Rd,103.83517705055232,1.28474856880259,6049,103078816
156,Blk 55,Tiong Bahru Rd,103.83405671725488,1.28475980959972,6051,103087752
157,Aft Furama RiverFront,Outram Rd,103.83496162445664,1.28623157720487,6069,103082468
158,HAVELOCK STN EXIT 2,Zion Rd,103.83360028266564,1.28685859481289,6071,103092576
159,HAVELOCK STN EXIT 3,Zion Rd,103.83349881780524,1.28837086415387,6081,103076508
160,Grand Copthorne Hotel,Kim Seng Rd,103.83440916705554,1.29078162052352,6129,103083228
161,Aft Blk 87,Zion Rd,103.83222750001508,1.29152472200833,6131,103021088
162,HAVELOCK STN EXIT 5,Havelock Rd,103.83381241921823,1.28963300933974,6141,104005374
163,HAVELOCK STN EXIT 4,Havelock Rd,103.83411526676927,1.28984045728104,6149,104005374
164,Hotel Miramar,Havelock Rd,103.83737276969174,1.28870976841461,6151,108003306
165,Opp Hotel Miramar,Havelock Rd,103.8368794036018,1.28909385421188,6159,103074770
166,Blk 2,Havelock Rd,103.83994286096711,1.28901705678419,6161,103074834
167,River Pl Condo,Havelock Rd,103.83998944937588,1.28937078931125,6169,103074834
168,Opp State Ct,Upp Cross St,103.8425356,1.286101944,6171,103083176
169,Ctrl Sq,Havelock Rd,103.8432942808956,1.28779136477868,6189,116001132
170,Peace Ctr,Selegie Rd,103.8498101874305,1.30099699058522,7011,103077672
171,Selegie Ctr,Selegie Rd,103.84995776766849,1.30324521574524,7021,103091814
172,Tekka Ctr,S'goon Rd,103.85120583303193,1.30572083298412,7031,103072356
173,Broadway Hotel,S'goon Rd,103.8531751994068,1.30879366465919,7111,103074884
174,Aft Farrer Pk Stn Exit G,S'goon Rd,103.8563561439714,1.31313747728456,7211,108001764
175,Sri Vadapathira K Tp,S'goon Rd,103.857819,1.314966,7221,103075832
176,Bef Tai Hoe Hotel,Kitchener Rd,103.8573711,1.309658889,7231,103001115
177,Bef S'Goon Rd,Lavender St,103.85900616698896,1.31557142083242,7241,103056038
178,Aft Kempas Rd,Lavender St,103.8594669,1.315368056,7249,103006022
179,Aft Allenby Rd,Jln Besar,103.85870666696984,1.31038833299803,7319,103072228
180,Hoa Nam Bldg,Jln Besar,103.85989088288474,1.31284472583438,7329,103056016
181,Aft King George's Ave,Kitchener Rd,103.8589096071918,1.30824994545395,7331,103001295
182,ARC 380,Lavender St,103.86054527803076,1.31351833300073,7351,103072218
183,OPP ARC 380,Lavender St,103.8607145180712,1.31368253065979,7359,103072218
184,Bef Kallang Bahru,Lavender St,103.86189483728585,1.31167636068313,7361,103054586
185,Aft Kallang Bahru,Lavender St,103.86237888899062,1.31140805601851,7369,103054586
186,Aft Kallang Rd,Lavender St,103.86350138902452,1.30950750000455,7371,103078778
187,Aperia/Bef Kallang Rd,Lavender St,103.86338225534828,1.31017336740849,7379,103072234
188,Opp Veerasamy Rd,Jln Besar,103.8561630249311,1.30653024120879,7419,103072120
189,IBIS S'PORE ON BENCOOLEN,Bencoolen St,103.85247781934106,1.30145216158073,7517,103086164
190,OPP NAFA CAMPUS 3,Bencoolen St,103.85211175034802,1.30095828368506,7518,103006366
191,JLN BESAR STN EXIT A,Jln Besar,103.85501564257024,1.30431906266143,7529,103054624
192,Rochor Stn,Rochor Canal Rd,103.8525732326128,1.30365644370093,7531,103054636
193,Bef Rochor Stn Exit B,Sungei Rd,103.8520009720951,1.30461300741211,7539,103057252
194,Fu Lu Shou Cplx,Rochor Rd,103.8546132267025,1.30171975809706,7551,103072636
195,Bef Waterloo St,Middle Rd,103.85267983857251,1.29945446471936,7561,103090207
196,Aft Waterloo St,Middle Rd,103.85301395376231,1.29949531348401,7569,103072555
197,SUNSHINE PLAZA,Middle Rd,103.851140093146,1.30063444632288,7571,103072794
198,Ch of Our Lady of Lourdes,Ophir Rd,103.85549999983388,1.30320609782822,7589,103025700
199,Opp Haw Par Glass Twr,Clemenceau Ave,103.84361028672502,1.29706985017362,8011,103086467
200,Aft Haw Par Glass Twr,Clemenceau Ave,103.84407009228418,1.29624633745957,8019,103086254
201,Dhoby Ghaut Stn Exit B,Penang Rd,103.8452569595532,1.29831153783592,8031,108000620
202,YMCA,Orchard Rd,103.84780636909544,1.29811014243867,8041,107000008
203,Dhoby Ghaut Stn,Orchard Rd,103.84529021429744,1.29930997279734,8057,104006648
204,Aft Dhoby Ghaut Stn,Orchard Rd,103.84654115271174,1.2989583431631,8058,104006772
205,Bencoolen Stn Exit B,Bras Basah Rd,103.84936128375956,1.29821382250893,8069,103011024
206,Sch of the Arts,Prinsep St,103.84910329217983,1.29921444445586,8079,103089016
207,Winsland Hse,Penang Rd,103.84093746088924,1.29986928715834,8111,103007360
208,Somerset Stn,Somerset Rd,103.83877618459664,1.30027569326586,8121,103062368
209,Orchard Plaza,Orchard Rd,103.84100500816844,1.30073968408393,8137,103057400
210,Concorde Hotel S'pore,Orchard Rd,103.84184700607597,1.3004785730821,8138,103057420
211,Opp Ngee Ann City,Orchard Turn,103.83431672376756,1.30211335092372,9011,103006258
212,ORCHARD STN EXIT 13,Orchard Blvd,103.83239784275958,1.30252834773643,9022,103047312
213,Opp Orchard Stn/ION,Orchard Turn,103.83254180023424,1.30323727330942,9023,103093602
214,Bef Cairnhill Rd,Orchard Rd,103.83701253388185,1.3023400420296,9037,103075472
215,Opp Somerset Stn,Orchard Rd,103.83852481842337,1.30154262450563,9038,108000996
216,Orchard Stn/Tang Plaza,Orchard Rd,103.83294467208566,1.30446065207443,9047,103054668
217,Orchard Stn/Lucky Plaza,Orchard Rd,103.83413070051408,1.30386684425114,9048,103054672
218,Somerset Youth Pk,Grange Rd,103.8362380421602,1.30044251755834,9059,108001560
219,Opp Four Seasons Hotel,Orchard Blvd,103.82914529614987,1.30453752623147,9111,104009156
220,Bef Tomlinson Rd,Orchard Blvd,103.82699645124522,1.30397379238249,9121,103091864
221,OPP ORCHARD BLVD STN,Grange Rd,103.82333805603096,1.30391999998489,9131,103000586
222,ORCHARD BLVD STN EXIT 1,Grange Rd,103.823585,1.303528,9139,103010463
223,British Council,Napier Rd,103.82177666702268,1.30543500002797,9141,104003142
224,Opp British Council,Napier Rd,103.8212215023314,1.30608981381948,9149,103090002
225,Aft Tomlinson Rd,Tanglin Rd,103.82568042620603,1.30602637557418,9159,103072348
226,Delfi Orchard,Orchard Rd,103.82835507326035,1.3070135326348,9169,103072952
227,Royal Thai Embassy,Orchard Rd,103.83049004618626,1.30587966240898,9179,103066192
228,Aft Cuscaden Rd,Tomlinson Rd,103.82549755834486,1.30488653118311,9191,103007548
229,Royal Plaza On Scotts,Scotts Rd,103.83265522662566,1.30702238421536,9212,103054570
230,Thong Teck Bldg,Scotts Rd,103.83305083303024,1.30783805600034,9213,103055464
231,Far East Plaza,Scotts Rd,103.833160882917,1.30731999685228,9219,103054571
232,Bt Merah Int,Bt Merah Ctrl,103.81722480263164,1.28210155945393,10009,103062550
233,BEF NEIL RD,New Bridge Rd,103.83749709165195,1.2777380589964,10011,116000068
234,Aft Hosp Dr,Eu Tong Sen St,103.83762574759974,1.27832046633393,10017,116000080
235,OUTRAM PK STN EXIT 6/SGH,Eu Tong Sen St,103.8386036062196,1.27900819665099,10018,116000088
236,Blk 3,Neil Rd,103.83838894560752,1.27744837946643,10021,103100240
237,BEF KAMPONG BAHRU TER,Kg Bahru Rd,103.83519065305671,1.27605834770353,10041,103008418
238,OPP KAMPONG BAHRU TER,Kg Bahru Rd,103.83483786772156,1.27623302424393,10049,103075478
239,Blk 149,Jln Bt Merah,103.83214410914844,1.2774116353284,10051,103057042
240,Opp Blk 149,Jln Bt Merah,103.83275178077876,1.27739664167497,10059,103077323
241,Blk 140,Jln Bt Merah,103.82948638898172,1.27860472196885,10061,103079106
242,Opp Blk 140,Jln Bt Merah,103.83008250001669,1.27855472196877,10069,103085827
243,Blk 111,Jln Bt Merah,103.82638920754816,1.28045309423663,10071,103073178
244,Blk 201,Jln Bt Merah,103.82708906887606,1.2803950142786,10079,103105327
245,Opp Blk 120,Jln Bt Merah,103.82241744338572,1.2822783541702,10081,103090455
246,Blk 119,Jln Bt Merah,103.82165660905856,1.28292332245689,10089,103071331
247,Bt Merah Town Ctr,Jln Bt Merah,103.81783962251122,1.28394108576437,10091,103070632
248,Opp Bt Merah Town Ctr,Jln Bt Merah,103.81765723225828,1.28420923932422,10099,103074179
249,OPP BT MERAH SEC SCH,Jln Bt Merah,103.8137833011436,1.28506195168861,10101,103072694
250,BT MERAH SEC SCH,Jln Bt Merah,103.81370529674273,1.28535315729277,10109,103072694
251,Opp Blk 28,Jln Bt Merah,103.80935410958448,1.28592835098556,10111,103054407
252,Opp Pacific Tech Ctr,Jln Bt Merah,103.81122515087834,1.28598009010704,10119,103090474
253,Blk 126 CP,Kim Tian Rd,103.82890541983912,1.28259924598805,10121,103013095
254,Blk 121,Kim Tian Rd,103.8285719444802,1.28231999999009,10129,103013095
255,Opp Blk 2,Jln Bt Merah,103.80686549059318,1.28619141382394,10131,103105079
256,Blk 1,Jln Bt Merah,103.8081000223439,1.28635135443034,10139,103090443
257,Blk 18,Tiong Bahru Rd,103.83238179897587,1.28583847140468,10141,103076410
258,Blk 1,Tiong Bahru Rd,103.83283384311112,1.28606797463712,10149,103087748
259,Ctrl Green Condo,Tiong Bahru Rd,103.8285292287095,1.28572048365401,10151,103066122
260,Opp Tiong Bahru Stn,Tiong Bahru Rd,103.82668969231534,1.28593135445772,10161,103076403
261,Tiong Bahru Stn,Tiong Bahru Rd,103.82748123930962,1.28599961406266,10169,103083254
262,Opp Tiong Bahru Pk,Tiong Bahru Rd,103.82346004890805,1.28736808047078,10171,103054679
263,Tiong Bahru Pk,Tiong Bahru Rd,103.82395833301354,1.28722333302937,10179,103054311
264,BEF AR-RABITAH MQUE,Tiong Bahru Rd,103.82109741719866,1.28850399420484,10181,103071315
265,Blk 104A CP,Tiong Bahru Rd,103.82183192865196,1.28858805222806,10189,103071315
266,Blk 78,Tiong Bahru Rd,103.81903121724014,1.28860026020096,10191,103104899
267,Delta Swim Cplx,Tiong Bahru Rd,103.81936618662203,1.28875723330649,10199,103057106
268,Opp Redhill Stn,Tiong Bahru Rd,103.81662854691156,1.28928144532567,10201,104007850
269,Redhill Stn,Tiong Bahru Rd,103.81672885450702,1.28954631749853,10209,104007850
270,BMW Eurokars Auto,Leng Kee Rd,103.81144166700754,1.29075499997303,10211,103105278
271,Opp Motor Image,Leng Kee Rd,103.81181,1.290835,10219,103105278
272,Ganges Ctr,Ganges Ave,103.83111793441608,1.29032906602668,10221,103012759
273,Opp Harvest Mansions,Ganges Ave,103.83178189529583,1.29052137840164,10229,103012759
274,Blk 51 CP,Ganges Ave,103.8278810014952,1.29041850946952,10231,103062474
275,Blk 79,Ganges Ave,103.82865297447871,1.29060688839488,10239,103062479
276,Gan Eng Seng Sec Sch,Alexandra Rd,103.82362326803133,1.2906166672167,10241,103087431
277,Opp Gan Eng Seng Sec Sch,Alexandra Rd,103.82407777797806,1.29088138899671,10249,103008576
278,Delta Sports Hall,Alexandra Rd,103.82047232884216,1.29090335842692,10261,103109026
279,Opp Delta Sports Hall,Alexandra Rd,103.82057583280772,1.29125331927458,10269,103109026
280,Opp Tanglin View,Alexandra Rd,103.81757666701353,1.29115999997607,10271,103086062
281,Tanglin View,Alexandra Rd,103.81757660887745,1.29151373164978,10279,103116710
282,SIS Bldg,Alexandra Rd,103.81445166697796,1.29153833298318,10281,103086382
283,Opp SIS Bldg,Alexandra Rd,103.81440639448375,1.2918699745378,10289,103086382
284,Opp Dawson Pl,Alexandra Rd,103.81065866068086,1.29215855273858,10291,103107347
285,Aft Dawson Pl,Alexandra Rd,103.81146486767658,1.29233498466278,10299,103080934
286,Opp Grace Ably of God Ch,Tanglin Rd,103.81587839882768,1.29428332949691,10321,103081690
287,Crescent Girls' Sch,Tanglin Rd,103.81597460107542,1.29364671283262,10329,103067459
288,Bef Bt Merah Ctrl,Henderson Rd,103.81834423228644,1.28136306628839,10331,103072198
289,Aft Bt Merah Ctrl,Henderson Rd,103.81857250844853,1.28115835063292,10339,103072198
290,Opp Blk 116,Henderson Rd,103.82059301467888,1.28484639603431,10341,103081791
291,Blk 116,Henderson Rd,103.821011,1.284977,10349,103081791
292,Blk 95B,Henderson Rd,103.82204990181914,1.28675501760897,10351,103075415
293,Opp Blk 95C,Henderson Rd,103.82259298997768,1.28723833324362,10359,103075415
294,Cendex Ctr,Lower Delta Rd,103.82353025808791,1.28038092060065,10361,103078674
295,Opp Cendex Ctr,Lower Delta Rd,103.82387343933006,1.28037471151153,10369,103078674
296,Blk 129,Lower Delta Rd,103.824502653383,1.28365072319387,10371,103091726
297,Blk 25B,Lower Delta Rd,103.82489520929732,1.28373603376667,10379,103091726
298,Opp Blk 48,Lower Delta Rd,103.82559411728036,1.28906972186602,10381,103057431
299,Blk 48,Lower Delta Rd,103.82573455047122,1.28875832991208,10389,103057431
300,Opp Melati Blk 2,Kg Bahru Rd,103.8312563936613,1.27627105343758,10391,103075486
301,Melati Blk 2,Kg Bahru Rd,103.8301945420522,1.27588166292683,10399,103072570
302,Shriro Hse,Hoy Fatt Rd,103.81167850401884,1.28816729863,10401,103094054
303,Blk 50,Hoy Fatt Rd,103.81099317775704,1.28788221830638,10409,103094058
304,Opp Blk 53,Hoy Fatt Rd,103.81280840030112,1.28912979528004,10411,103013022
305,Blk 52,Hoy Fatt Rd,103.81257549749508,1.28842024220748,10419,103094054
306,Blk 63B,Lengkok Bahru,103.814975,1.288964,10421,103094010
307,Blk 54,Lengkok Bahru,103.814048054222,1.2892779060127,10429,103013014
308,ENABLING VILLAGE,Lengkok Bahru,103.813984,1.287195,10431,103107726
309,OPP ENABLING VILLAGE,Lengkok Bahru,103.81418936580334,1.28747956947939,10439,103107726
310,Opp Blk 44,Lengkok Bahru,103.8116061687213,1.28656898930199,10441,103003651
311,Blk 44,Lengkok Bahru,103.8119537804698,1.28666552495266,10449,103003751
